feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_level,fragments_ms2_spectrum_level,HG1,HG2,HG3,HG4,HG5,HG6,LG1,LG2,LG3,LG4,LG5,LG6,S1,S2,S3,S4,S5,S6
P1795,2.637,398.32633,398.32649,0.401680541,C23H44NO4,CCCCCCCCC=CCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(7),0.919,0.802235,0.001723201,0.173502061,All,Some,2682.42937,2804.417582,2291.160256,2412.42284,949.1833308,1724.926302,0,0,0,0,0,0,1040.135998,1394.884491,947.2817133,1358.690324,1466.52629,0
P1795,2.637,398.32633,398.32649,0.401680541,C23H44NO4,CCCCCCCCCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(6),0.753,0.724845,0,0.1477845,All,None,9884.95241,11179.72531,13006.93227,11701.00309,7640.818196,8697.05208,0,0,0,0,0,0,4813.160295,5953.359669,5756.177924,5216.076855,9059.23701,0
P1795,2.637,398.32633,398.32649,0.401680541,C23H44NO4,CCCCCCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(9),0.457,0.818175,0.001985232,0.129105686,All,All,13932.61822,14615.8571,11401.90748,11886.57407,5509.998474,9678.021618,0,0,0,0,0,0,5246.703707,7051.755839,5296.540362,6625.23282,7974.2367,0
P1852,2.775,448.34207,448.34214,0.156130762,C27H46NO4,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 20:4,"CAR 20:4(8,11,14,17)",0.659714286,0.741638571,0,0.140135286,Some,Some,0,0,3920,8810,0,0,0,0,0,0,0,0,0,5030,4400,3770,11000,0
P2247,3.434,426.35727,426.35779,1.219632928,C25H48NO4,CCCCCCCCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 18:1,CAR 18:1(9),0.954,0.7929,0.000823704,0.175348963,All,All,3702.754929,3220.766863,3085.677218,3278.081428,2583.176943,2719.230769,458.8888889,0,0,0,353.4031414,0,2075.294118,3719.156161,2679.513179,2101.180668,2795.549374,2262.052477
P2247,3.434,426.35727,426.35779,1.219632928,C25H48NO4,CCCCCCC=CCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 18:1,CAR 18:1(11),0.602,0.86286,0,0.146486,All,Some,0,0,0,0,133.0676017,0,0,0,0,0,0,0,0,0,93.34608413,93.68422075,106.4687953,43.53168999
P2247,3.434,426.35727,426.35779,1.219632928,C25H48NO4,CCCCCCCCCCCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 18:1,CAR 18:1(6),0.652,0.49602,0,0.114802,All,None,60897.24507,67379.23314,58214.32278,59921.91857,50983.75546,53980.76923,9411.111111,0,0,0,7746.596859,0,42024.70588,49880.84384,54027.14074,46605.13511,57397.98183,41594.41583
P3047,4.187,454.3887,454.38909,0.858295255,C27H52NO4,CCCCCCC=CCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 20:1,CAR 20:1(13),0.708,0.8518,0,0.15598,All,None,,,,,0,,,,0,0,,,,,,,6570,
P3047,4.187,454.3887,454.38909,0.858295255,C27H52NO4,CCCCCCCCC=CCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 20:1,CAR 20:1(11),0.659,0.82672,0,0.148572,All,None,,,,,0,,,,0,0,,,,,,,0,
P3363,4.414,508.37611,508.37615,0.078681897,C26H54NO6P,CCCCCCCCCCCC=CCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-18:1,LPC O-18:1(6),0.864,0.75803,0.012079117,0.171866294,All,Some,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.4695566,0,205.8020478,0
P3363,4.414,508.37611,508.37615,0.078681897,C26H54NO6P,CCCCCCCCC=CCCCCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-18:1,LPC O-18:1(9),0.924,0.747965,0,0.1671965,All,None,22400,19296.2659,0,17800,14500,0,0,0,0,0,0,0,16358.84802,18000,16310.02051,15800,19894.19795,0
P3363,4.414,508.37611,508.37615,0.078681897,C26H54NO6P,CCCCCCC=CCCCCCCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-18:1,LPC O-18:1(11),0.922,0.74049,0,0.166249,All,None,0,503.7340993,0,0,0,0,0,0,0,0,0,0,241.1519837,0,2129.509936,0,0,0
P3487,4.509,466.32895,466.3292,0.536101964,C23H48NO6P,CCCCCCCCC=CCCCCCCCCOCC(O)COP(=O)(O)OCCN,[M+H]+,LPE O-18:1,LPE O-18:1(9),0.53,0.76722,0.304284847,0.373149877,All,Some,,0,,,,0,,,0,0,,0,,,0,0,0,0
P3487,4.509,466.32895,466.3292,0.536101964,C23H48NO6P,CCCCCCC=CCCCCCCCCCCOCC(O)COP(=O)(O)OCCN,[M+H]+,LPE O-18:1,LPE O-18:1(11),0.496,0.77624,0.044650543,0.162944434,All,Some,,0,,,,0,,,0,0,,0,,,6455.82002,0,0,0
P3487,4.509,466.32895,466.3292,0.536101964,C23H48NO6P,CCCCCCCCCCCC=CCCCCCOCC(O)COP(=O)(O)OCCN,[M+H]+,LPE O-18:1,LPE O-18:1(6),0.875,0.70159,0.005723904,0.162238123,All,All,,0,,,,0,,,0,0,,0,,,10044.17998,0,0,0
P4284,5.3,494.36047,494.3605,0.06068446,C25H52NO6P,CCCCCCC=CCCCCCCCCCCCCOCC(O)COP(=O)(O)OCCN,[M+H]+,LPE O-20:1,LPE O-20:1(13),0.705,0.80527,0.056710212,0.196395169,All,Some,,,,,54300,,0,0,0,0,,,,,0,,0,0
P4284,5.3,494.36047,494.3605,0.06068446,C25H52NO6P,CCCCCCCCC=CCCCCCCCCCCOCC(O)COP(=O)(O)OCCN,[M+H]+,LPE O-20:1,LPE O-20:1(11),0.936,0.15404,0,0.109004,All,None,,,,,0,,0,0,0,0,,,,,52900,,48500,48700
P4477,5.503,838.55893,838.55926,0.393532116,C46H77O10P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCC=CCCCCCCCC,[M+NH4]+,BMP 18:1_22:6,"BMP 18:1(9)_22:6(4,7,10,13,16,19)",0.506285714,0.782174286,0.01183774,0.138316192,Some,Some,9688.938217,0,0,17456.04801,0,5093.549243,16150,0,0,0,11057.41751,8746.440195,29315.66085,19446.24809,19903.65128,23131.15727,16861.44197,15729.36215
P4477,5.503,838.55893,838.55926,0.393532116,C46H77O10P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCC=CCCCCCCCCCCC,[M+NH4]+,BMP 18:1_22:6,"BMP 18:1(6)_22:6(4,7,10,13,16,19)",0.5315,0.7657725,0.010358023,0.138013668,Some,Some,33997.48428,88500,80900,44187.90397,58700,46412.90151,16150,41500,22300,23700,16942.58249,16422.80309,48484.33915,42507.50383,41826.20717,41020.77151,36777.11605,49484.3437
P4477,5.503,838.55893,838.55926,0.393532116,C46H77O10P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCC=CCCCCCC,[M+NH4]+,BMP 18:1_22:6,"BMP 18:1(11)_22:6(4,7,10,13,16,19)",0.436666667,0.684823333,0.009207131,0.119514705,Some,Some,49513.57751,0,0,17456.04801,0,5093.549243,0,0,0,0,0,6330.756713,0,19446.24809,18170.14155,6248.071217,16861.44197,7386.294149
P4576,5.615,764.54226,764.54361,1.765759313,C40H75O10P,CCCCCCCCCCCC=CCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCC=CCCCCCCCC,[M+NH4]+,BMP 16:1_18:1,BMP 16:1(7)_18:1(6),0.427,0.461145,0,0.0888145,Some,None,0,19600,0,9580,6070,0,30500,,,0,42600,,16900,18300,16000,13600,14900,0
P4599,5.652,764.54271,764.54361,1.177172876,C40H75O10P,CCCCCCCCC=CCCCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCC=CCCCCCCCCC,[M+NH4]+,BMP 16:1_18:1,BMP 16:1(6)_18:1(9),0.89,0.73636,0,0.162636,Some,None,0,0,0,0,0,0,0,0,40300,34448.27586,0,53600,0,0,0,0,1016.844708,0
P4599,5.652,764.54271,764.54361,1.177172876,C40H75O10P,CCCCCCCCCCCC=CCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCC=CCCCCCCCCC,[M+NH4]+,BMP 16:1_18:1,BMP 16:1(6)_18:1(6),0.630666667,0.552883333,0,0.118355,Some,None,0,0,0,0,0,0,0,0,0,9951.724138,0,0,0,0,0,0,1213.155292,0
P4599,5.652,764.54271,764.54361,1.177172876,C40H75O10P,CCCCCCC=CCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCC=CCCCCCCCCC,[M+NH4]+,BMP 16:1_18:1,BMP 16:1(6)_18:1(11),0.793333333,0.261286667,0,0.105462,Some,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4753,5.831,790.55853,790.55926,0.923396938,C42H77O10P,CCCCCCCCC=CCC=CCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCC=CCCCCCCCCCCC,[M+NH4]+,BMP 18:1_18:2,"BMP 18:1(6)_18:2(6,9)",0.752,0.71418,0,0.146618,Some,None,0,,,0,,,,,,,,,0,0,0,,0,0
P4753,5.831,790.55853,790.55926,0.923396938,C42H77O10P,CCCCCCCCC=CCC=CCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCC=CCCCCCCCC,[M+NH4]+,BMP 18:1_18:2,"BMP 18:1(9)_18:2(6,9)",0.752,0.71418,0,0.146618,Some,None,0,,,0,,,,,,,,,0,0,0,,0,0
P4753,5.831,790.55853,790.55926,0.923396938,C42H77O10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCC=CCCCCCCCC,[M+NH4]+,BMP 18:1_18:2,"BMP 18:1(9)_18:2(9,12)",0.711333333,0.626423333,0,0.133775667,Some,None,0,,,0,,,,,,,,,0,0,0,,0,0
P5152,6.105,676.49094,676.49118,0.354771809,C36H70NO8P,CCCCCCCCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,PC 8:0_20:1,PC 8:0_20:1(11),0.99,0.65712,0,0.164712,All,None,31600,0,,0,,0,,0,,22900,30700,36900,,0,,,,
P5152,6.105,676.49094,676.49118,0.354771809,C36H70NO8P,CCCCCCC=CCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,PC 8:0_20:1,PC 8:0_20:1(13),0.492,0.683,0,0.1175,Some,None,0,36800,,27800,,12700,,0,,0,0,0,,0,,,,
P5415,6.316,766.55804,766.55926,1.591527314,C40H77O10P,CCCCCCC=CCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCCCCCCC,[M+NH4]+,BMP 16:0_18:1,BMP 16:0_18:1(11),0.567,0.45695,0,0.102395,All,None,,,0,,,,,,,0,,0,,0,0,0,0,0
P5545,6.392,792.56984,792.57491,6.396871685,C42H79O10P,CCCCCCC=CCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCC=CCCCCCC,[M+NH4]+,BMP 18:1_18:1,BMP 18:1(11)_18:1(11),0.527,0.962125,0,0.1489125,All,None,11400,,,,,,,,,,,,,,,0,0,
P5545,6.392,792.56984,792.57491,6.396871685,C42H79O10P,CCCCCCCCCCCC=CCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCC=CCCCCCC,[M+NH4]+,BMP 18:1_18:1,BMP 18:1(11)_18:1(6),0.527,0.962125,0,0.1489125,Some,None,11400,,,,,,,,,,,,,,,0,0,
P5545,6.392,792.56984,792.57491,6.396871685,C42H79O10P,CCCCCCCCC=CCCCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCC=CCCCCCC,[M+NH4]+,BMP 18:1_18:1,BMP 18:1(11)_18:1(9),0.529333333,0.65126,0,0.118059333,Some,None,11400,,,,,,,,,,,,,,,42700,0,
P5763,6.565,778.53735,778.53813,1.001877712,C44H76NO8P,CCC=CCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCC=CCC=CCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,PC 18:3_18:3,"PC 18:3(9,12,15)_18:3(9,12,15)",0.5324,0.911246,0.451303702,0.505407562,All,Some,4493.861839,0,0,0,0,27127.72219,0,0,5125.4618,10096.44746,6398.710401,14367.89216,0,0,0,0,1275.92955,0
